Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
4.001576805,-0.028282406273261618,0.3321924677737975,-0.02095361630720849,
4.011516493,-0.18351631350737896,0.31938404013700605,-0.05123941167674828,
4.021608786,-0.2502425590151316,0.07163272039085467,-0.19422045600002902,
4.031834256,-0.23850123715351157,0.08412120927166811,-0.21283719739584844,
4.041847278,-0.06821788654287775,0.04814337244663136,-0.33116011064266143,
4.051985872,-0.012436400298755368,0.17258986275222643,-0.48711000475100663,
4.061926498,-0.07507134313939501,0.41388442071935927,-0.5812241323217708,
4.07200702,-0.0830414838437914,0.9593454516145492,-0.610546770685908,
4.082179782,-0.18518557126082413,1.5144673280885144,-0.8715096974325155,
4.092358272,-0.14431773801451864,2.3569603675977646,-0.6512391300163249,
4.10239218,-0.07714690510277711,2.8738945575059454,-0.3064708019226059,
4.112323535,0.011066136806450189,2.9656615139246796,-0.05364050109619023,
4.122533223,0.020345161795013667,2.5449115658760704,0.2712068785076609,
4.132615724,0.10821348066281766,1.729471733169607,0.31273356706661154,
4.142709631,0.13253941245994172,0.2956516663208415,-0.09840891455998291,
4.152786455,0.23244535214202577,-0.8092657152831713,-0.4809530313443364,
4.162704842,0.22426356702245842,-0.9462086537695047,-0.308147949825225,
4.172917551,0.22921020054179486,0.8672594563789264,0.4889803963100929,
4.183035833,0.24082904071297695,3.3140216459136873,1.0385764529066102,
4.192956824,-0.06399522613933528,4.076246308430168,0.7427545300926222,
4.203180262,-0.5300365320162046,1.9087517159335867,0.3720217078372203,
4.213114691,-0.6117345993770018,-1.2004728398996143,-0.5757873988593132,
4.22333964,-0.6656009439669335,-2.649727637154065,-0.5142600326891351,
4.233413703,-0.766154837333543,-3.1119390921451284,-0.039827926091798804,
4.243537246,-0.9193816904015405,-3.3093259014016514,0.4699623241961411,
4.253654643,-1.026640281978215,-3.3982824069123367,0.885456033940348,
4.263516675,-1.0166790850186072,-2.9676226601490097,1.3519261903724933,
4.273745947,-0.9857258134860771,-1.7305369556338555,2.257572923275778,
4.283870218,-0.9379787869277778,-0.13178330901392066,4.135137775876482,
4.293912407,-0.5588468891003278,1.1318971137751923,5.732957251340834,
4.303969856,-0.2440492138559458,1.5184334930221066,2.598221117234777,
4.313894284,-0.5361737430329989,1.210916075423544,0.21684555528684513,
4.323971368,-0.8426570272633132,0.9457485463739914,-1.1481229438930827,
4.334201994,-1.1069973449856993,0.423325521669506,-1.6080283462643683,
4.344130745,-1.4104067596555518,-0.021427168113612893,-1.5507425737094929,
4.354496996,-1.434783308725418,-0.423198710809249,-1.244424777961735,
4.364434445,-1.3087170354691038,-0.9284904566845089,-1.1219536445434604,
4.374618561,-1.138910884234658,-1.3786917183749505,-1.0124845808264187,
4.384449812,-0.7081004099634098,-1.9916813257497648,-1.074307561359133,
4.394693771,-0.554988170988306,-2.1334768202433665,-1.5528068724801745,
4.404664449,-0.5014513217027541,-1.7489193651302397,-1.8130231824342893,
4.414864034,-0.5428978508802693,-1.4029662110983327,-1.760707070575117,
4.424908097,-0.34238102484484045,-1.2602792341374558,-0.9412175100214951,
4.434925911,-0.1513216213285089,-0.9699161973685584,0.5341488614743811,
4.445010026,0.35778295867449783,-0.4043528339934799,2.9824111378245246,
4.455026173,1.6154871930504382,0.08257432765384909,3.401070588116065,
4.465080966,1.457110861923261,-0.2748749098251624,-2.067547112080085,
4.475371279,0.5834188302246437,-0.08199366260134155,-3.6996436590930846,
4.485492947,0.09898565927248848,-0.05793349209279164,-3.3159721751992723,
4.495411437,0.05237349445900641,-0.23788312485099183,-1.614651748338129,
4.505399772,0.16831271310870877,-0.5695480617704423,-0.35319438679916526,
4.515652117,-0.02240949900766198,-0.7812499453880335,-0.20977180086694458,
4.525726597,-0.5503981115962664,-0.48326297205749746,0.12714823179942525,
4.53564691,-0.9766197206612905,0.17267497696825984,-1.0743132663289536,
4.545722015,-0.9536781312653608,0.25689265186269417,-1.5298271046097938,
4.555798006,-0.3798702241284997,0.07910001321378868,-1.4728586090418392,
4.56604384,0.7189067458070633,-0.06313371623561004,0.04754433530070834,
4.576116133,1.0156584624415492,0.052922439853308134,1.28302033938963,
4.586178321,0.7244201377205735,0.3679494478543264,1.1030307288805548,
4.596263791,0.5948589861530214,0.3901275331369769,-0.2399771669832944,
