Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
2.005958377,-0.20922833713979494,0.08828256287069536,-1.004657030285347,
2.016011555,-0.17504410770011725,0.20087049609733754,-0.9339701653964907,
2.025937077,-0.18217319509564067,0.2334800577665419,-0.7739911652761768,
2.036139994,-0.18787656037949096,0.24807555011948423,-0.6766538125004826,
2.046092131,-0.14647052930945215,0.09886174624793043,-0.5681380829593705,
2.056195569,-0.22826736964507166,0.1173965869397513,-0.48898693731476217,
2.066396299,-0.23624396163402617,-0.0746343661903861,-0.40651252119580383,
2.076346665,-0.31540903916500906,-0.5423788491534811,-0.5320689856913843,
2.086513697,-0.2982959069454105,-0.8093135407485654,-0.586545577041877,
2.096658282,-0.3420662337655569,-0.888786129229711,-0.565004508012591,
2.106742814,-0.1970385594459172,-1.0979322847314243,-0.4826493822050557,
2.116764794,-0.24573747978939975,-1.0852046534687343,-0.38611950576404463,
2.12685667,-0.37663391960727666,-0.8796558797574097,-0.2322811770447074,
2.136909327,-0.3472758112992247,-0.6117874479465524,-0.10921046638552179,
2.146983912,-0.36592728127204577,-0.22127962876739815,0.0658605297083551,
2.156996569,-0.38467916432351434,0.18689536436889398,-0.027756770477700643,
2.167118289,-0.33838911917472336,0.5172653149326152,0.019932540237102114,
2.177235633,-0.332002852890209,0.8543456992117164,-0.05683767638270598,
2.187205999,-0.4418155288961058,0.9975955168889037,-0.11825389736226821,
2.197297302,-0.41474398662777945,1.0968732579935452,-0.1520639504856398,
2.207468449,-0.42373254052903025,1.0192352091780403,-0.2174192306094591,
2.217544752,-0.4232619218198917,0.7196201924889163,-0.23139621708339253,
2.227536055,-0.56845291552293,0.5335582450555858,-0.2387470872683986,
2.237606629,-0.5428689646510101,0.09740399960892177,-0.2101512886272799,
2.247834703,-0.5070788802931958,-0.14808922096715804,-0.16429029998675432,
2.257879287,-0.3980016662462753,-0.19508575665653893,-0.19655453441536785,
2.26785382,-0.2494483434187732,-0.2096986712431992,-0.09212133310632992,
2.278025696,-0.09995983783621487,-0.13328246604729443,-0.04688202160515059,
2.288018301,-0.06847571328655,-0.12194884881439805,-0.06432066216403381,
2.298215698,-0.043288413646818125,-0.12437411201050352,-0.10125592433877101,
2.308257626,-0.0461228878998764,-0.2259130164150438,-0.13846558398777098,
2.318353147,-0.052221233980179416,-0.18073041313203575,-0.14141824894566418,
2.328427003,-0.07625345813140916,-0.19821439642359628,-0.1476111043764677,
2.33840966,-0.02652629555786168,-0.12409504619161105,-0.2521641749559662,
2.348627734,-0.028882474434570593,0.011814813876789287,-0.24386929658403567,
2.358674349,-0.003952336893237596,0.21631067678502447,-0.3636472399024214,
2.368753882,0.1347441096419041,0.27264723527567725,-0.45946957071527217,
2.378855758,0.17291760598134553,0.20662563123812028,-0.4671744457873056,
2.388910342,0.24942503098258617,-0.08752694862278432,-0.5154763024641951,
2.398882374,0.2072014627743502,-0.3726491223747903,-0.531133473840863,
2.40905649,0.17342263204961933,-0.562438908495535,-0.44022965504925293,
2.419029772,0.21918327604222237,-0.5418883826558023,-0.45561323224863093,
2.42920644,0.20982312754383042,-0.31858913630042274,-0.37215202378718604,
2.439193368,0.1448741642283627,-0.10164254927471283,-0.2555837100942019,
2.449373733,0.10440716247933934,0.06042256336343321,-0.19680553008708024,
2.459491443,0.02606489738764628,0.08281452163801184,-0.18042873803450798,
2.469439881,-0.021286038709145694,-0.025685638548965883,-0.09837426713048725,
2.479516028,0.036601282634368015,-0.21591517954034423,-0.03656150476884301,
2.490507904,-0.02434908749419018,-0.18805501960883753,-0.08671008409461534,
2.499789832,-0.011817832007070928,-0.1466132966929301,-0.1498131661526454,
2.509846135,-0.07074581719562256,-0.002369067530125335,-0.09303549996313198,
2.519820928,-0.07958099156319975,-0.013387411006522854,-0.0016446437144019832,
2.530052179,-0.14027924465894603,0.03525869912446922,-0.012807871953943506,
2.539980149,-0.12371555270957868,0.035868397287856624,0.02423017338411082,
2.550227546,-0.19474051238861023,-0.059411819034949076,-0.0687224935253774,
2.56027739,-0.15579240991088822,-0.2543882809115541,-0.11243887509984307,
2.570333798,-0.1054803329580074,-0.3912158554421339,-0.13591972800956187,
2.580454163,-0.04607702874128383,-0.4164020971955047,-0.13555081536663405,
2.590506508,0.055075704391921665,-0.29481448781499786,-0.1007792143050259,
2.600566301,0.20878164715458958,-0.1285914584160608,-0.007839710555348933,
2.610682656,0.3585614581655662,0.03886343605035414,0.17377221501519347,
2.620722084,0.40177084364503235,0.05024434381098608,0.19264793329755525,
2.630806512,0.3827082384269207,0.12830201191402324,0.2996858114665353,
2.640775055,0.30233587174739596,0.27885468326168805,0.35083959537073794,
2.650940837,0.2456994163920574,0.4452662112089598,0.3994240604823813,
2.660934119,0.21954387092034758,0.5171031667210748,0.32336996738004575,
2.671122193,0.20628087253126098,0.48263547527139217,0.2970032353710166,
2.681199902,0.20716265464427147,0.5125221070237558,0.019251391054076472,
2.691309643,0.1389150669145749,0.7624438330799421,-0.16081215162207085,
2.701398915,0.011533264316572034,1.0121813237881732,-0.2665557004541508,
2.71146876,0.00922661145325765,1.2272941923313194,-0.3166740685725491,
2.72141074,-0.09987894996169197,1.2614778404373208,-0.2648314118404611,
2.731647147,-0.04925737821390619,1.3386241058459518,-0.09694346428071854,
2.741676106,-0.2232805871433448,1.350542534188481,0.029705455778794354,
2.751928972,-0.4506057924800262,1.3830608278878955,0.2191312240590706,
2.761889337,-0.49839066082423095,1.5891200185114887,0.31704167739789135,
2.771873922,-0.5596028694644385,1.7999352360005965,0.4566616631844874,
2.782041787,-0.6238955600368828,1.9877417679020404,0.5338811331827829,
2.792084705,-0.640853146180141,2.103510522475929,0.41178201864873487,
2.802058196,-0.6812343434211636,2.096526069347931,0.3217641650097777,
2.812264134,-0.7480157721612474,1.765327392343579,0.36084084915774745,
2.82220976,-0.7822873201826113,0.7840239988358011,0.5031931486340975,
2.832414292,-0.6909520790464796,-0.7288568507360473,0.46767681333324235,
2.842501637,-0.12755147341784778,-2.2226347359599323,0.3894643266431564,
2.852538305,0.36913768669846103,-3.046077301707399,0.4456467453187366,
2.862640689,0.402570376562138,-3.3638966008874043,0.348855958266708,
2.873117526,0.25693403066560383,-3.070359224069298,0.2982384092677854,
2.882833881,0.1021177163232545,-2.5903625440503593,0.3841581922427195,
2.892835184,-0.0753654964360253,-1.876923366539117,0.47587833258751067,
2.902872112,-0.12924533904335145,-1.1720960967957463,0.6794990813989881,
2.912991905,-0.23747162676446631,-0.5660971350049557,0.9726401739326671,
